CO_MESORREGIAO,NO_MESORREGIAO,CO_MICRORREGIAO,NO_MICRORREGIAO
7,Metropolitana de Belo Horizonte,34,Conselheiro Lafaiete
11,Campo das Vertentes,58,São João Del Rei
2,Norte de Minas,4,Janaúba
8,Vale do Rio Doce,38,Mantena
3,Jequitinhonha,10,Diamantina
7,Metropolitana de Belo Horizonte,33,Ouro Preto
7,Metropolitana de Belo Horizonte,29,Pará de Minas
3,Central Espírito-santense,7,Afonso Cláudio
1,Noroeste Espírito-santense,2,Nova Venécia
1,Noroeste Espírito-santense,1,Barra de São Francisco
4,Sul Espírito-santense,11,Alegre
3,Central Espírito-santense,10,Guarapari
1,Noroeste Espírito-santense,3,Colatina
4,Sul Espírito-santense,12,Cachoeiro de Itapemirim
2,Litoral Norte Espírito-santense,6,Linhares
3,Central Espírito-santense,9,Vitória
2,Litoral Norte Espírito-santense,5,São Mateus
3,Central Espírito-santense,8,Santa Teresa
4,Sul Espírito-santense,13,Itapemirim
2,Litoral Norte Espírito-santense,4,Montanha
5,Sul Fluminense,13,Baía da Ilha Grande
1,Noroeste Fluminense,2,Santo Antônio de Pádua
4,Baixadas,10,Lagos
3,Centro Fluminense,5,Três Rios
5,Sul Fluminense,12,Barra do Piraí
5,Sul Fluminense,11,Vale do Paraíba Fluminense
6,Metropolitana do Rio de Janeiro,18,Rio de Janeiro
3,Centro Fluminense,7,Nova Friburgo
1,Noroeste Fluminense,1,Itaperuna
6,Metropolitana do Rio de Janeiro,16,Macacu-Caceribu
2,Norte Fluminense,4,Macaé
2,Norte Fluminense,3,Campos dos Goytacazes
3,Centro Fluminense,6,Cantagalo-Cordeiro
4,Baixadas,9,Bacia de São João
6,Metropolitana do Rio de Janeiro,14,Vassouras
6,Metropolitana do Rio de Janeiro,17,Itaguaí
6,Metropolitana do Rio de Janeiro,15,Serrana
3,Centro Fluminense,8,Santa Maria Madalena
8,Presidente Prudente,35,Adamantina
1,São José do Rio Preto,4,São José do Rio Preto
7,Campinas,29,Pirassununga
7,Campinas,30,São João da Boa Vista
7,Campinas,33,Amparo
4,Bauru,22,Avaré
6,Piracicaba,28,Piracicaba
4,Bauru,20,Bauru
11,Itapetininga,42,Itapetininga
8,Presidente Prudente,36,Presidente Prudente
2,Ribeirão Preto,15,Batatais
3,Araçatuba,18,Birigui
12,Macro Metropolitana Paulista,46,Sorocaba
1,São José do Rio Preto,3,Votuporanga
9,Marília,38,Marília
7,Campinas,32,Campinas
5,Araraquara,24,Araraquara
5,Araraquara,25,São Carlos
3,Araçatuba,16,Andradina
4,Bauru,23,Botucatu
13,Vale do Paraíba Paulista,51,Guaratinguetá
1,São José do Rio Preto,1,Jales
11,Itapetininga,44,Capão Bonito
3,Araçatuba,17,Araçatuba
2,Ribeirão Preto,11,Ituverava
13,Vale do Paraíba Paulista,52,Bananal
6,Piracicaba,27,Limeira
9,Marília,37,Tupã
1,São José do Rio Preto,5,Catanduva
7,Campinas,31,Mogi Mirim
15,Metropolitana de São Paulo,59,Guarulhos
10,Assis,39,Assis
12,Macro Metropolitana Paulista,48,Bragança Paulista
1,São José do Rio Preto,6,Auriflama
11,Itapetininga,41,Itapeva
4,Bauru,21,Jaú
14,Litoral Sul Paulista,55,Registro
2,Ribeirão Preto,9,Barretos
2,Ribeirão Preto,14,Ribeirão Preto
15,Metropolitana de São Paulo,57,Osasco
2,Ribeirão Preto,13,Jaboticabal
10,Assis,40,Ourinhos
15,Metropolitana de São Paulo,63,Santos
15,Metropolitana de São Paulo,62,Mogi das Cruzes
11,Itapetininga,43,Tatuí
6,Piracicaba,26,Rio Claro
13,Vale do Paraíba Paulista,50,São José dos Campos
4,Bauru,19,Lins
15,Metropolitana de São Paulo,58,Franco da Rocha
12,Macro Metropolitana Paulista,47,Jundiaí
