NO_DISTRITO,CO_DISTRITO
Centenário,314400310
Imbiruçu,314400312
Ocidente,314400315
Roseiral,314400320
São Francisco do Humaitá,314400325
Muzambinho,314410205
Nacip Raydan,314420105
Nanuque,314430005
Vila Pereira,314430010
Vila Gabriel Passos,314430015
Naque,314435905
Natalândia,314437505
Natércia,314440905
Nazareno,314450805
Nepomuceno,314460705
Nazaré de Minas,314460720
Santo Antônio do Cruzeiro,314460725
Ninheira,314465605
Nova Belém,314467205
Santo Antônio de Nova Belém,314467220
Nova Era,314470605
Nova Lima,314480505
Nova Módica,314490405
Nova Ponte,314500005
Nova Porteirinha,314505905
Nova Resende,314510905
Petúnia,314510910
Nova Serrana,314520805
Boa Vista de Minas,314520810
Novo Cruzeiro,314530705
Lufa,314530710
Novilhona,314530715
Queixada,314530720
Novo Oriente de Minas,314535605
Novorizonte,314537205
Olaria,314540605
Olhos-d'Água,314545505
Ribeirão de Santo Agostinho,314545510
Três Dias,314545515
Pimenta de São Serafim,314545520
Olímpio Noronha,314550505
Oliveira,314560405
Morro do Ferro,314560410
Oliveira Fortes,314570305
Onça de Pitangui,314580205
Oratórios,314585105
Orizânia,314587705
Ouro Branco,314590105
Ouro Fino,314600805
Crisólia,314600810
São José do Mato Dentro,314600815
Ouro Preto,314610705
Amarantina,314610710
Antônio Pereira,314610715
Cachoeira do Campo,314610720
Engenheiro Correia,314610725
Glaura,314610730
Lavras Novas,314610734
Miguel Burnier,314610735
Rodrigo Silva,314610740
Santa Rita de Ouro Preto,314610745
Santo Antônio do Leite,314610750
Santo Antônio do Salto,314610752
São Bartolomeu,314610755
Ouro Verde de Minas,314620605
Padre Carvalho,314625505
Padre Paraíso,314630505
Paineiras,314640405
Pains,314650305
Vila Costina,314650310
Pai Pedro,314655205
Paiva,314660205
Palma,314670105
Cisneiros,314670110
Itapiruçu,314670115
Palmópolis,314675005
Dois de Abril,314675010
Papagaios,314690905
Paracatu,314700605
Pará de Minas,314710505
Ascensão,314710510
Carioca,314710515
Tavares de Minas,314710522
Torneiros,314710525
Paraguaçu,314720405
Guaipava,314720410
Paraisópolis,314730305
Costas,314730310
Paraopeba,314740205
Passabém,314750105
Passa Quatro,314760005
Pé do Morro,314760010
Pinheirinhos,314760015
Passa Tempo,314770905
Passa Vinte,314780805
Passos,314790705
Patis,314795605
Patos de Minas,314800405
Bom Sucesso de Patos,314800410
Chumbo,314800415
Major Porto,314800420
Pindaíbas,314800425
Pilar,314800427
Santana de Patos,314800430
Patrocínio,314810305
Salitre de Minas,314810310
São João da Serra Negra,314810315
Silvano,314810320
Patrocínio do Muriaé,314820205
Paula Cândido,314830105
Airões,314830110
Paulistas,314840005
Pavão,314850905
Peçanha,314860805
Santa Teresa do Bonito,314860815
Pedra Azul,314870705
Araçaji de Minas,314870710
Pedra Bonita,314875605
Pedra do Anta,314880605
Pedra do Indaiá,314890505
Pedra Dourada,314900205
Pedralva,314910105
Pedras de Maria da Cruz,314915005
São Pedro das Tabocas,314915010
Pedrinópolis,314920005
Pedro Leopoldo,314930905
Doutor Lund,314930910
Fidalgo,314930915
Lagoa de Santo Antônio,314930917
Vera Cruz de Minas,314930920
Pedro Teixeira,314940805
Pequeri,314950705
Pequi,314960605
Perdigão,314970505
Perdizes,314980405
Perdões,314990305
Periquito,314995205
Pedra Corrida,314995215
São Sebastião do Baixio,314995220
Pescador,315000005
Piau,315010905
Piedade de Caratinga,315015805
Piedade de Ponte Nova,315020805
Piedade do Rio Grande,315030705
Piedade dos Gerais,315040605
Pimenta,315050505
Pingo-d'Água,315053905
Pintópolis,315057005
Piracema,315060405
Pirajuba,315070305
Piranga,315080205
Pinheiros Altos,315080210
Santo Antônio do Pirapetinga,315080215
Santo Antônio dos Quilombolas,315080220
Piranguçu,315090105
Piranguinho,315100805
Olegário Maciel,315100810
Santa Bárbara do Sapucaí,315100820
Pirapetinga,315110705
Caiapó,315110710
Valão Quente,315110720
Pirapora,315120605
Piraúba,315130505
Pitangui,315140405
Piumhi,315150305
Planura,315160205
Poço Fundo,315170105
Paiolinho,315170110
Poços de Caldas,315180005
Pocrane,315190905
Assaraí,315190910
Barra da Figueira,315190915
Pompéu,315200605
Silva Campos,315200610
Ponte Nova,315210505
Vau-Açu,315210515
Ponto Chique,315213105
Ponto dos Volantes,315217005
Santana do Araçuaí,315217020
Porteirinha,315220405
Gorutuba,315220410
Mocambinho,315220412
Paciência,315220414
Mulungu de Minas,315220416
Tanque de Porteirinha,315220423
Tocandira,315220425
Porto Firme,315230305
Poté,315240205
Sucanga,315240207
Valão,315240210
Pouso Alegre,315250105
Sao José do Pântano,315250110
Pouso Alto,315260005
Santana do Capivari,315260010
Prados,315270905
Prata,315280805
Jardinésia,315280810
Patrimônio,315280815
Pratápolis,315290705
Pratinha,315300405
Presidente Bernardes,315310305
Presidente Juscelino,315320205
Presidente Kubitschek,315330105
Presidente Olegário,315340005
Galena,315340010
Ponte Firme,315340020
Alto Jequitibá,315350905
Padre Júlio Maria,315350925
Prudente de Morais,315360805
Quartel Geral,315370705
Queluzito,315380605
Raposos,315390505
Raul Soares,315400205
Bicuíba,315400210
Santana do Tabuleiro,315400215
São Sebastião do Óculo,315400220
São Vicente da Estrela,315400225
Vermelho Velho,315400235
Recreio,315410105
Angaturama,315410110
Conceição da Boa Vista,315410115
Reduto,315415005
Jaguaraí,315415020
Resende Costa,315420005
Jacarandira,315420010
Resplendor,315430905
Bom Pastor,315430910
Calixto,315430915
Campo Alegre de Minas,315430920
Independência,315430925
Nicolândia,315430930
Ressaquinha,315440805
Simão Tamm,315440830
Riachinho,315445705
Riacho dos Machados,315450705
Bem-Querer,315450710
Ribeirão das Neves,315460605
Justinópolis,315460610
Ribeirão Vermelho,315470505
Rio Acima,315480405
Rio Casca,315490305
Jurumirim,315490310
Rio Doce,315500905
Rio do Prado,315510805
Rio Espera,315520705
Piranguita,315520710
Rio Melo,315520715
Rio Manso,315530605
Souza,315530610
Rio Novo,315540505
Rio Paranaíba,315550405
Abaeté dos Mendes,315550410
Rio Pardo de Minas,315560305
Serra Nova,315560325
Rio Piracicaba,315570205
Conceição de Piracicaba,315570210
Padre Pinto,315570215
Rio Pomba,315580105
Rio Preto,315590005
Rio Vermelho,315600705
Pedra Menina,315600710
Ritápolis,315610605
Rochedo de Minas,315620505
Rodeiro,315630405
Romaria,315640305
Rosário da Limeira,315645205
Rubelita,315650205
Amparo do Sítio,315650210
Lagoa de Baixo,315650215
Rubim,315660105
Itapiru,315660110
Sabará,315670005
Carvalho de Brito,315670010
Mestre Caetano,315670015
Ravena,315670020
Sabinópolis,315680905
Euxenita,315680910
Quilombo,315680915
Sacramento,315690805
Desemboque,315690810
Salinas,315700505
Ferreirópolis,315700510
Nova Matrona,315700525
Nova Fátima de Salinas,315700535
Salto da Divisa,315710405
Santa Bárbara,315720305
Barra Feliz,315720310
Brumal,315720315
Florália,315720330
Santa Bárbara do Leste,315725205
Santa Bárbara do Monte Verde,315727805
São Sebastião do Barreado,315727820
Santa Bárbara do Tugúrio,315730205
Santa Cruz de Minas,315733605
Santa Cruz de Salinas,315737705
Água Boa de Santa Cruz,315737710
Santo Antônio da Itinga,315737725
Santa Cruz do Escalvado,315740105
Zito Soares,315740115
Santa Efigênia de Minas,315750005
Santa Fé de Minas,315760905
Santa Helena de Minas,315765805
Bom Jesus da Vitória,315765810
Santa Juliana,315770805
Zelândia,315770810
Santa Luzia,315780705
São Benedito,315780710
Santa Margarida,315790605
Ribeirão de São Domingos,315790610
Santa Maria de Itabira,315800305
Itauninha,315800310
Santa Maria do Salto,315810205
Santa Maria do Suaçuí,315820105
Brejo de Minas,315820107
Glucínio,315820110
Poaia,315820120
Santana da Vargem,315830005
Santana de Cataguases,315840905
Santana de Pirapama,315850805
Fechados,315850810
Santana do Deserto,315860705
Santana do Garambéu,315870605
Santana do Jacaré,315880505
Santana do Manhuaçu,315890405
Santa Filomena,315890410
Santana do Paraíso,315895305
Santana do Riacho,315900105
Serra do Cipó,315900110
Santana dos Montes,315910005
Joselândia,315910010
Santa Rita de Caldas,315920905
Pião,315920907
São Bento de Caldas,315920910
Santa Rita de Jacutinga,315930805
Itaboca,315930810
Santa Rita de Minas,315935705
Santa Rita de Ibitipoca,315940705
Bom Jesus do Vermelho,315940710
Paraíso Garcia,315940715
Santa Rita do Itueto,315950605
São José do Itueto,315950610
Santa Rita do Sapucaí,315960505
Santa Rosa da Serra,315970405
Campo Alegre da Serra,315970410
Santa Vitória,315980305
Chaveslândia,315980310
Perdilândia,315980315
Santo Antônio do Amparo,315990205
São Sebastião da Estrela,315990230
Santo Antônio do Aventureiro,316000905
São Domingos,316000910
Santo Antônio do Grama,316010805
Santo Antônio do Itambé,316020705
Santo Antônio do Jacinto,316030605
Catajás,316030610
Santo Antônio do Monte,316040505
Santo Antônio do Retiro,316045405
Santo Antônio do Rio Abaixo,316050405
Santo Hipólito,316060305
Senhora da Glória,316060310
Valo Fundo,316060320
Santos Dumont,316070205
Conceição do Formoso,316070210
Dores do Paraibuna,316070215
Mantiqueira,316070217
São João da Serra,316070220
São Bento Abade,316080105
São Brás do Suaçuí,316090005
São Domingos das Dores,316095905
São Domingos do Prata,316100705
Cônego João Pio,316100710
Ilhéus do Prata,316100715
Juiraçu,316100720
Santana do Alfié,316100725
Vargem Linda,316100730
São Félix de Minas,316105605
São Francisco,316110605
Lapa do Espírito Santo,316110612
Morro,316110615
Santa Isabel de Minas,316110630
Travessão de Minas,316110640
São Francisco de Paula,316120505
São Francisco de Sales,316130405
São Francisco do Glória,316140305
São Geraldo,316150205
Monte Celeste,316150210
São Geraldo da Piedade,316160105
Vinhático,316160110
São Geraldo do Baixio,316165005
São Gonçalo do Abaeté,316170005
Canoeiros,316170010
São Gonçalo do Pará,316180905
São Gonçalo do Rio Abaixo,316190805
São Gonçalo do Sapucaí,316200505
Ferreiras,316200510
Ribeiros,316200515
São Gotardo,316210405
Abaeté dos Venâncios,316210407
Funchal,316210410
Guarda dos Ferreiros,316210415
São José da Bela Vista,316210420
São João Batista do Glória,316220305
São João da Lagoa,316225205
São Roberto de Minas,316225220
São João da Mata,316230205
São João da Ponte,316240105
Condado do Norte,316240110
Olímpio Campos,316240120
Santo Antônio da Boa Vista,316240125
Simão Campos,316240130
São João das Missões,316245005
Rancharia e Tenda,316245010
São João del Rei,316250005
Arcângelo,316250010
São Gonçalo do Amarante,316250015
Emboabas,316250020
Rio das Mortes,316250025
São Sebastião da Vitória,316250030
São João do Manhuaçu,316255905
Pontões do São João do Manhuaçu,316255910
São João do Manteninha,316257505
Vargem Grande de Minas,316257515
São João do Oriente,316260905
Santa Maria do Baixio,316260930
São João do Pacuí,316265805
Santa da Pedra,316265820
São João do Paraíso,316270805
São João Evangelista,316280705
Bom Jesus da Canabrava,316280707
Nelson de Sena,316280710
São Geraldo do Baguari,316280715
São João Nepomuceno,316290605
Carlos Alves,316290610
Ituí,316290615
Roça Grande,316290620
Taruaçu,316290625
São Joaquim de Bicas,316292205
São José da Barra,316294805
São José da Lapa,316295505
São José da Safira,316300305
São José da Varginha,316310205
São José do Alegre,316320105
São José do Divino,316330005
São José do Goiabal,316340905
São José do Jacuri,316350805
São José do Mantimento,316360705
São Lourenço,316370605
São Miguel do Anta,316380505
São Pedro da União,316390405
Biguatinga,316390410
São Pedro dos Ferros,316400105
Águas Férreas,316400110
São Pedro do Suaçuí,316410005
Córrego Dantas do Suaçuí,316410010
São Romão,316420905
Ribanceira,316420915
São Roque de Minas,316430805
São José do Barreiro,316430810
Serra da Canastra,316430815
São Sebastião da Bela Vista,316440705
São Sebastião da Vargem Alegre,316443105
São Sebastião do Anta,316447205
São Sebastião do Maranhão,316450605
Mãe dos Homens,316450610
Santo Antônio dos Araújos,316450615
São Sebastião do Oeste,316460505
São Sebastião do Paraíso,316470405
Guardinha,316470410
São Sebastião do Rio Preto,316480305
São Sebastião do Rio Verde,316490205
São Tiago,316500805
Mercês de Água Limpa,316500810
São Tomás de Aquino,316510705
São Tomé das Letras,316520605
Sobradinho de Minas,316520610
São Vicente de Minas,316530505
Sapucaí-Mirim,316540405
Sardoá,316550305
Sarzedo,316553705
Setubinha,316555205
Palmeiras do Vale,316555220
Sem-Peixe,316556005
São Bartolomeu de Sem Peixe,316556030
Senador Amaral,316557805
Ponte Segura,316557815
Senador Cortes,316560205
Pregos,316560220
Senador Firmino,316570105
Senador José Bento,316580005
Senador Modestino Gonçalves,316590905
Senhora de Oliveira,316600605
Senhora do Porto,316610505
São José do Jacaré,316610530
Senhora dos Remédios,316620405
Palmital dos Carvalhos,316620410
Sericita,316630305
Seritinga,316640205
Serra Azul de Minas,316650105
Serra da Saudade,316660005
Serra dos Aimorés,316670905
Serra do Salitre,316680805
Catiara,316680810
Serrania,316690705
Serranópolis de Minas,316695605
Serranos,316700405
Serro,316710305
Deputado Augusto Clementino,316710310
Milho Verde,316710315
Pedro Lessa,316710320
São Gonçalo do Rio das Pedras,316710325
Três Barras da Estrada Real,316710330
Sete Lagoas,316720205
Barreiro de Sete Lagoas,316720215
Silveirânia,316730105
Silvianópolis,316740005
Simão Pereira,316750905
Simonésia,316760805
Alegria,316760810
São Simão do Rio Preto,316760820
Sobrália,316770705
Plautino Soares,316770710
Soledade de Minas,316780605
Tabuleiro,316790505
Taiobeiras,316800205
Taparuba,316805105
Tapira,316810105
Tapiraí,316820005
Altolândia,316820010
Taquaraçu de Minas,316830905
Tarumirim,316840805
Café-Mirim,316840807
São Vicente do Rio Doce,316840810
Taruaçu de Minas,316840812
Vai-Volta,316840815
Bananal de Cima,316840830
Teixeiras,316850705
Teófilo Otoni,316860605
Crispim Jacques,316860610
Pedro Versiani,316860620
Topázio,316860625
Mucuri,316860630
Rio Pretinho,316860635
Timóteo,316870505
Cachoeira do Vale,316870510
Tiradentes,316880405
Tiros,316890305
Tocantins,316900005
Tocos do Moji,316905905
Toledo,316910905
Tombos,316920805
Água Santa de Minas,316920807
Catuné,316920810
Três Corações,316930705
Três Marias,316935605
Andrequicé,316935610
Três Pontas,316940605
Tumiritinga,316950505
São Geraldo de Tumiritinga,316950510
Tupaciguara,316960405
Turmalina,316970305
Caçaratiba,316970310
Campo Buriti,316970320
Turvolândia,316980205
Ubá,316990105
Diamante de Ubá,316990110
Miragaia,316990112
Ubari,316990115
Ubaí,317000805
Bentópolis de Minas,317000810
Ubaporanga,317005705
São José do Batatal,317005735
São Sebastião do Batatal,317005740
Uberaba,317010705
Uberlândia,317020605
Miraporanga,317020620
Umburatiba,317030505
São Pedro do Pampã,317030525
Unaí,317040405
Garapuava,317040415
Pedras de Marilândia,317040417
Palmeirinha,317040418
Ruralminas,317040419
Santo Antônio do Boqueirão,317040420
União de Minas,317043805
Uruana de Minas,317047905
Cercado,317047910
Urucânia,317050305
Bom Jesus de Cardosos,317050310
Urucuia,317052905
Vargem Alegre,317057805
Vargem Bonita,317060205
Vargem Grande do Rio Pardo,317065105
Varginha,317070105
Varjão de Minas,317075005
Várzea da Palma,317080005
Guaicuí,317080010
Varzelândia,317090905
Brejo do Mutambal,317090912
Campo Redondo,317090915
Vazante,317100605
Claro de Minas,317100610
Verdelândia,317103005
Veredinha,317107105
Mendonça,317107115
Veríssimo,317110505
Vermelho Novo,317115405
Vespasiano,317120405
Viçosa,317130305
Silvestre,317130310
Cachoeira de Santa Cruz,317130315
São José do Triunfo,317130325
Vieiras,317140205
Santo Antônio do Glória,317140210
Mathias Lobato,317150105
Virgem da Lapa,317160005
São João do Vacaria,317160020
Virgínia,317170905
Virginópolis,317180805
Virgolândia,317190705
Divino de Virgolândia,317190710
Visconde do Rio Branco,317200405
Volta Grande,317210305
Trimonte,317210310
Wenceslau Braz,317220205
Afonso Cláudio,320010205
Fazenda Guandu,320010213
Ibicaba,320010215
Mata Fria,320010228
Piracema,320010230
Pontões,320010235
São Francisco Xavier do Guandu,320010237
São Luís de Boa Sorte,320010239
Serra Pelada,320010240
Águia Branca,320013605
Águas Claras,320013610
Água Doce do Norte,320016905
Governador Lacerda de Aguiar,320016910
Santa Luzia do Azul,320016915
Santo Agostinho,320016920
Vila Nelita,320016930
Alegre,320020105
Anutiba,320020110
Araraí,320020115
Café,320020120
Celina,320020125
Rive,320020135
Santa Angélica,320020140
Alfredo Chaves,320030005
Crubixá,320030010
Ibitiruí,320030015
Matilde,320030020
Ribeirão do Cristo,320030025
Sagrada Família,320030030
Urânia,320030035
Alto Rio Novo,320035905
Monte Carmelo do Rio Novo,320035915
Palmerino,320035920
Anchieta,320040905
Alto Pongal,320040910
Jabaquara,320040915
Apiacá,320050805
Bonsucesso,320050807
José Carlos,320050810
Aracruz,320060705
Guaraná,320060710
Jacupemba,320060712
Riacho,320060715
Santa Cruz,320060720
Atílio Vivácqua,320070605
Baixo Guandu,320080505
Alto Mutum Preto,320080510
Ibituba,320080515
Quilômetro 14 do Mutum,320080520
Vila Nova de Bananal,320080525
Barra de São Francisco,320090405
Cachoeirinha de Itaúna,320090415
Itaperuna,320090425
Monte Senir,320090427
Monte Sinai,320090430
Paulista,320090435
Poranga,320090440
Santo Antônio,320090450
Vargem Alegre,320090456
Boa Esperança,320100105
Santo Antônio do Pousalegre,320100140
São José do Sobradinho,320100145
Bom Jesus do Norte,320110005
Brejetuba,320115905
Santa Rita de Brejetuba,320115918
São Jorge de Oliveira,320115920
Cachoeiro de Itapemirim,320120905
Burarama,320120910
Conduru,320120915
Córrego dos Monos,320120916
Coutinho,320120917
Gironda,320120918
Gruta,320120919
Itaoca,320120920
Pacotuba,320120930
São Vicente,320120936
Vargem Grande do Soturno,320120940
Cariacica,320130805
Itaquari,320130810
Castelo,320140705
Estrela do Norte,320140715
Limoeiro,320140723
Monte Pio,320140725
Patrimônio do Ouro,320140730
Colatina,320150605
Ângelo Frechiani,320150610
Baunilha,320150615
Boapaba,320150620
Graça Aranha,320150630
Itapina,320150635
Conceição da Barra,320160505
Braço do Rio,320160507
Cricaré,320160508
Itaúnas,320160510
Conceição do Castelo,320170405
Divino de São Lourenço,320180305
Domingos Martins,320190205
Aracê,320190210
Biriricas,320190213
Isabel,320190220
Melgaço,320190230
Paraju,320190235
Dores do Rio Preto,320200905
Mundo Novo,320200910
São Raimundo da Pedra Menina,320200915
Ecoporanga,320210805
Cotaxé,320210810
Imburana,320210815
Joaçuba,320210820
Muritiba,320210822
Prata dos Baianos,320210823
Santa Luzia do Norte,320210830
Santa Terezinha,320210840
Fundão,320220705
Irundi,320220710
Praia Grande,320220713
Timbuí,320220715
Governador Lindenberg,320225605
Moacyr Ávidos,320225610
Morello,320225613
Novo Brasil,320225615
Guaçuí,320230605
São Miguel do Caparaó,320230608
São Pedro de Rates,320230610
São Tiago,320230615
Guarapari,320240505
Rio Calçado,320240510
Todos os Santos,320240515
Ibatiba,320245405
Ibiraçu,320250405
Ibitirama,320255305
Santa Marta,320255310
Iconha,320260305
Duas Barras,320260310
Irupi,320265205
Santa Cruz de Irupi,320265220
Itaguaçu,320270205
Itaçu,320270210
Itaimbé,320270215
Palmeira,320270225
Itapemirim,320280105
Itaipava,320280109
Itapecoá,320280110
Rio Muqui,320280115
Itarana,320290005
Iúna,320300705
Pequiá,320300720
Nossa Senhora das Graças,320300723
Santíssima Trindade,320300725
São João do Príncipe,320300730
Jaguaré,320305605
Barra Seca,320305610
Nossa Senhora de Fátima,320305620
Jerônimo Monteiro,320310605
João Neiva,320313005
Acioli,320313010
Laranja da Terra,320316305
Joatuba,320316315
São Luiz de Miranda,320316320
Sobreiro,320316325
Vila de Laranja da Terra,320316330
Linhares,320320505
Bebedouro,320320507
Desengano,320320510
Farias,320320512
Pontal do Ipiranga,320320513
Povoação,320320514
Regência,320320515
Rio Quartel,320320523
São Rafael,320320525
Mantenópolis,320330405
Santa Luzia de Mantenópolis,320330410
São Geraldo,320330415
São José de Mantenópolis,320330425
Marataízes,320332005
Barra do Itapemirim,320332010
Marechal Floriano,320334605
Araguaia,320334610
Santa Maria de Marechal,320334625
Marilândia,320335305
Sapucaia,320335310
Mimoso do Sul,320340305
Conceição do Muqui,320340310
Dona América,320340315
Ponte de Itabapoana,320340320
Santo Antônio do Muqui,320340325
São José das Torres,320340330
São Pedro de Itabapoana,320340335
Montanha,320350205
Vinhático,320350210
Mucurici,320360105
Itabaiana,320360110
Muniz Freire,320370005
Alto Norte,320370008
Itaici,320370010
Menino Jesus,320370015
Piaçu,320370020
São Pedro,320370023
Vieira Machado,320370025
Muqui,320380905
Camará,320380910
Nova Venécia,320390805
Guararema,320390815
Santo Antônio do Quinze,320390830
Pancas,320400505
Lajinha,320400515
Vila Verde,320400525
Pedro Canário,320405405
Cristal do Norte,320405415
Pinheiros,320410405
São João do Sobrado,320410410
Piúma,320420305
Ponto Belo,320425205
Itamira,320425215
Presidente Kennedy,320430205
Rio Bananal,320435105
São Francisco,320435140
São Jorge de Tiradentes,320435145
Rio Novo do Sul,320440105
Santa Leopoldina,320450005
Djalma Coutinho,320450010
Mangaraí,320450025
Santa Maria de Jetibá,320455905
Garrafão,320455915
Santa Teresa,320460905
Alto Caldeirão,320460907
Alto Santa Maria,320460910
Santo Antônio do Canaã,320460917
São João de Petrópolis,320460920
Vinte e Cinco de Julho,320460925
São Domingos do Norte,320465805
São Gabriel da Palha,320470805
Fartura,320470815
São José do Calçado,320480705
Airituba,320480710
Alto Calçado,320480715
Divino Espírito Santo,320480720
São Mateus,320490605
Barra Nova,320490610
Itauninhas,320490620
Nestor Gomes,320490630
Nova Verona,320490635
São Roque do Canaã,320495505
Santa Júlia,320495520
São Jacinto,320495525
Serra,320500205
Calogi,320500210
Carapina,320500215
Nova Almeida,320500220
Queimado,320500225
Sooretama,320501005
Vargem Alta,320503605
Alto Castelinho,320503610
Jaciguá,320503615
Prosperidade,320503620
São José de Fruteiras,320503625
Venda Nova do Imigrante,320506905
São João de Viçosa,320506920
Viana,320510105
Araçatiba,320510110
Vila Pavão,320515005
Vila Valério,320517605
Jurama,320517615
São Jorge da Barra Seca,320517630
Vila Velha,320520005
Argolas,320520010
Ibes,320520015
Jucu,320520020
São Torquato,320520025
Vitória,320530905
Goiabeiras,320530910
Angra dos Reis,330010005
Abraão,330010010
Cunhambebe,330010015
Mambucaba,330010025
Aperibé,330015905
Araruama,330020905
Iguabinha,330020908
Morro Grande,330020910
Praia Seca,330020912
São Vicente de Paula,330020915
Areal,330022505
Armação dos Búzios,330023305
Arraial do Cabo,330025805
Barra do Piraí,330030805
Califórnia da Barra,330030807
Dorândia,330030810
Ipiabas,330030815
São José do Turvo,330030820
Vargem Alegre,330030825
Barra Mansa,330040705
Antônio Rocha,330040709
Floriano,330040715
Nossa Senhora do Amparo,330040720
Rialto,330040730
Belford Roxo,330045605
Bom Jardim,330050605
Banquete,330050610
Barra Alegre,330050615
São José do Ribeirão,330050620
Bom Jesus do Itabapoana,330060505
Calheiros,330060510
Carabuçu,330060515
Pirapetinga de Bom Jesus,330060520
Rosal,330060525
Serrinha,330060530
Usina Santa Maria,330060535
Santa Isabel,330060540
Cabo Frio,330070405
Tamoios,330070420
Cachoeiras de Macacu,330080305
Cambuci,330090205
Cruzeiro,330090207
Funil,330090210
Monte Verde,330090215
São João do Paraíso,330090220
Três Irmãos,330090230
Carapebus,330093605
Comendador Levy Gasparian,330095105
Afonso Arinos,330095110
Campos dos Goytacazes,330100905
Dores de Macabu,330100915
Ibitioca,330100920
Morangaba,330100930
Morro do Coco,330100935
Mussurepe,330100940
Santa Maria,330100945
Santo Amaro de Campos,330100950
Santo Eduardo,330100955
São Sebastião de Campos,330100965
Serrinha,330100970
Tocos,330100975
Travessão,330100980
Vila Nova de Campos,330100985
Cantagalo,330110805
Boa Sorte,330110810
Euclidelândia,330110815
Santa Rita da Floresta,330110820
São Sebastião do Paraíba,330110825
Cardoso Moreira,330115705
São Joaquim,330115710
Carmo,330120705
Córrego da Prata,330120710
Porto Velho do Cunha,330120715
Casimiro de Abreu,330130605
Barra de São João,330130610
Professor Souza,330130618
Rio Dourado,330130620
Conceição de Macabu,330140505
Macabuzinho,330140510
Cordeiro,330150405
Duas Barras,330160305
Monnerat,330160310
Duque de Caxias,330170205
Campos Elyseos,330170210
Imbariê,330170215
Xerém,330170220
Engenheiro Paulo de Frontin,330180105
Sacra Família do Tinguá,330180110
Morro Azul do Tinguá,330180115
Guapimirim,330185005
Iguaba Grande,330187605
Itaboraí,330190005
Cabuçu,330190010
Itambi,330190015
Manilha,330190018
Pachecos,330190019
Porto das Caixas,330190020
Sambaetiba,330190025
Visconde de Itaboraí,330190040
Itaguaí,330200705
Ibituporanga,330200715
Italva,330205605
Itaocara,330210605
Batatal,330210607
Estrada Nova,330210610
Jaguarembé,330210615
Laranjais,330210620
Portela,330210625
Itaperuna,330220505
Boaventura,330220510
Comendador Venâncio,330220515
Itajara,330220520
Nossa Senhora da Penha,330220525
Retiro do Muriaé,330220530
Raposo,330220535
Itatiaia,330225405
Japeri,330227005
Laje do Muriaé,330230405
Macaé,330240305
Cachoeiros de Macaé,330240315
Córrego do Ouro,330240325
Frade,330240327
Glicério,330240330
Sana,330240340
Macuco,330245205
Magé,330250205
Guia de Pacobaíba,330250215
Inhomirim,330250220
Santo Aleixo,330250225
Suruí,330250230
Rio D'Ouro,330250235
Mangaratiba,330260105
Conceição de Jacareí,330260110
Itacurussá,330260115
Muriqui,330260120
Maricá,330270005
Inoã,330270010
Ponta Negra,330270015
Itaipuaçu,330270020
Mendes,330280905
Mesquita,330285805
Vila Emil,330285810
Miguel Pereira,330290805
Conrado,330290807
Governador Portela,330290810
Miracema,330300505
Paraíso do Tobias,330300510
Venda das Flores,330300515
Natividade,330310405
Bom Jesus do Querendo,330310407
Ourânia,330310410
Nilópolis,330320305
Olinda,330320310
Niterói,330330205
Nova Friburgo,330340105
Amparo,330340110
Campo do Coelho,330340115
Conselheiro Paulino,330340120
Lumiar,330340125
Muri,330340127
Riograndina,330340130
São Pedro da Serra,330340135
Nova Iguaçu,330350005
Paracambi,330360905
Paraíba do Sul,330370805
Inconfidência,330370810
Salutaris,330370815
Werneck,330370820
Paraty,330380705
Paraty-Mirim,330380710
Tarituba,330380715
Paty do Alferes,330385605
Avelar,330385610
Petrópolis,330390605
Cascatinha,330390610
Itaipava,330390615
Pedro do Rio,330390620
Posse,330390623
Pinheiral,330395505
Piraí,330400305
Arrozal,330400310
Monumento,330400315
Santanésia,330400325
Porciúncula,330410205
Purilândia,330410210
Santa Clara,330410215
Porto Real,330411005
Quatis,330412805
Ribeirão de São Joaquim,330412820
Queimados,330414405
Quissamã,330415105
Resende,330420105
Agulhas Negras,330420110
Engenheiro Passos,330420115
Fumaça,330420120
Pedra Selada,330420130
Bulhões,330420145
Rio Bonito,330430005
Bazílio,330430007
Boa Esperança,330430010
Rio Claro,330440905
Getulândia,330440910
Lídice,330440915
Passa Três,330440920
São João Marcos,330440925
Rio das Flores,330450805
Abarracamento,330450810
Manuel Duarte,330450815
Taboas,330450820
Rio das Ostras,330452405
Rio de Janeiro,330455705
Santa Maria Madalena,330460705
Doutor Loréti,330460710
Renascença,330460715
Santo Antônio do Imbé,330460720
Sossego,330460725
Triunfo,330460730
Santo Antônio de Pádua,330470605
Baltazar,330470615
Campelo,330470617
Ibitiguaçu,330470620
Marangatu,330470625
Monte Alegre,330470630
Paraoquena,330470635
Santa Cruz,330470640
São Pedro de Alcântara,330470650
São Francisco de Itabapoana,330475505
Barra Seca,330475510
Maniva,330475515
São Fidélis,330480505
Cambiasca,330480510
Colônia,330480515
Ipuca,330480520
Pureza,330480525
São Gonçalo,330490405
Ipiiba,330490410
Monjolo,330490415
Neves,330490420
Sete Pontes,330490425
São João da Barra,330500005
Atafona,330500007
Barcelos,330500010
Cajueiro,330500016
Grussaí,330500018
Pipeiras,330500030
São João de Meriti,330510905
