NO_DISTRITO,CO_DISTRITO
Boa Vista do Pindaré,210250710
Campestre do Maranhão,210255605
Cândido Mendes,210260605
Barão de Tromaí,210260610
Estandarte,210260615
Cantanhede,210270505
Capinzal do Norte,210275405
Carolina,210280405
Carutapera,210290305
Caxias,210300005
Cedral,210310905
Central do Maranhão,210312505
Centro do Guilherme,210315805
Centro Novo do Maranhão,210317405
Chapadinha,210320805
Cidelândia,210325705
Codó,210330705
Coelho Neto,210340605
Colinas,210350505
Conceição do Lago-Açu,210355405
Coroatá,210360405
Cururupu,210370305
Davinópolis,210375205
Dom Pedro,210380205
Duque Bacelar,210390105
Esperantinópolis,210400805
Estreito,210405705
Feira Nova do Maranhão,210407305
Fernando Falcão,210408105
Formosa da Serra Negra,210409905
Fortaleza dos Nogueiras,210410705
Fortuna,210420605
Godofredo Viana,210430505
Aurizona,210430510
Gonçalves Dias,210440405
Governador Archer,210450305
Governador Edison Lobão,210455205
Governador Eugênio Barros,210460205
Governador Luiz Rocha,210462805
Governador Newton Bello,210465105
Governador Nunes Freire,210467705
Graça Aranha,210470105
Grajaú,210480005
Guimarães,210490905
Humberto de Campos,210500505
Icatu,210510405
Igarapé do Meio,210515305
Igarapé Grande,210520305
Imperatriz,210530205
Itaipava do Grajaú,210535105
Itapecuru Mirim,210540105
Itinga do Maranhão,210542705
Jatobá,210545005
Jenipapo dos Vieiras,210547605
João Lisboa,210550005
Joselândia,210560905
Junco do Maranhão,210565805
Lago da Pedra,210570805
Lago do Junco,210580705
Lago Verde,210590605
Lagoa do Mato,210592205
Lago dos Rodrigues,210594805
Lagoa Grande do Maranhão,210596305
Lajeado Novo,210598905
Lima Campos,210600305
Loreto,210610205
Luís Domingues,210620105
Magalhães de Almeida,210630005
Maracaçumé,210632605
Marajá do Sena,210635905
Maranhãozinho,210637505
Mata Roma,210640905
Matinha,210650805
Matões,210660705
Matões do Norte,210663105
Milagres do Maranhão,210667205
Mirador,210670605
Ibipira,210670610
Miranda do Norte,210675505
Mirinzal,210680505
Monção,210690405
Montes Altos,210700105
Morros,210710005
Nina Rodrigues,210720905
Nova Colinas,210725805
Nova Iorque,210730805
Nova Olinda do Maranhão,210735705
Olho d'Água das Cunhãs,210740705
Olinda Nova do Maranhão,210745605
Paço do Lumiar,210750605
Palmeirândia,210760505
Paraibano,210770405
Parnarama,210780305
Brejo de São Félix,210780310
Passagem Franca,210790205
Pastos Bons,210800905
Roçado,210800910
Paulino Neves,210805805
Paulo Ramos,210810805
Pedreiras,210820705
Marianópolis,210820710
Pedro do Rosário,210825605
Penalva,210830605
Peri Mirim,210840505
Peritoró,210845405
Pindaré-Mirim,210850405
Pimentel,210850410
Pinheiro,210860305
Pio XII,210870205
Pirapemas,210880105
Poção de Pedras,210890005
Porto Franco,210900705
Porto Rico do Maranhão,210905605
Presidente Dutra,210910605
Presidente Juscelino,210920505
Presidente Médici,210923905
Presidente Sarney,210927005
Presidente Vargas,210930405
Primeira Cruz,210940305
Raposa,210945205
Riachão,210950205
Ribamar Fiquene,210955105
Rosário,210960105
Sambaíba,210970005
Santa Filomena do Maranhão,210975905
Santa Helena,210980905
Curva Grande,210980910
Santa Inês,210990805
Santa Luzia,211000505
Santa Luzia do Paruá,211003905
Santa Quitéria do Maranhão,211010405
Santa Rita,211020305
Santana do Maranhão,211023705
Santo Amaro do Maranhão,211027805
Santo Antônio dos Lopes,211030205
São Benedito do Rio Preto,211040105
São Bento,211050005
São Bernardo,211060905
São Domingos do Azeitão,211065805
São Domingos do Maranhão,211070805
São Félix de Balsas,211080705
São Francisco do Brejão,211085605
São Francisco do Maranhão,211090605
Caraíba do Norte,211090610
São João Batista,211100305
São João do Carú,211102905
São João do Paraíso,211105205
São João do Soter,211107805
São João dos Patos,211110205
São José de Ribamar,211120105
Mata,211120110
São José dos Basílios,211125005
São Luís,211130005
São Luís Gonzaga do Maranhão,211140905
São Mateus do Maranhão,211150805
São Pedro da Água Branca,211153205
São Pedro dos Crentes,211157305
São Raimundo das Mangabeiras,211160705
São Raimundo do Doca Bezerra,211163105
São Roberto,211167205
São Vicente Ferrer,211170605
Satubinha,211172205
Senador Alexandre Costa,211174805
Senador La Rocque,211176305
Serrano do Maranhão,211178905
Sítio Novo,211180505
Sucupira do Norte,211190405
Sucupira do Riachão,211195305
Tasso Fragoso,211200105
Timbiras,211210005
Timon,211220905
Trizidela do Vale,211223305
Tufilândia,211227405
Tuntum,211230805
Turiaçu,211240705
Turilândia,211245605
Tutóia,211250605
Barro Duro,211250610
Urbano Santos,211260505
Vargem Grande,211270405
Viana,211280305
Vila Nova dos Martírios,211285205
Vitória do Mearim,211290205
Vitorino Freire,211300905
Zé Doca,211400705
Acauã,220005305
Agricolândia,220010305
Água Branca,220020205
Alagoinha do Piauí,220025105
Alegrete do Piauí,220027705
Alto Longá,220030105
Altos,220040005
Alvorada do Gurguéia,220045905
Amarante,220050905
Angical do Piauí,220060805
Anísio de Abreu,220070705
Antônio Almeida,220080605
Aroazes,220090505
Aroeiras do Itaim,220095405
Arraial,220100205
Assunção do Piauí,220105105
Avelino Lopes,220110105
Baixa Grande do Ribeiro,220115005
Barra D'Alcântara,220117605
Barras,220120005
Barreiras do Piauí,220130905
Barro Duro,220140805
Batalha,220150705
Bela Vista do Piauí,220155605
Belém do Piauí,220157205
Beneditinos,220160605
Bertolínia,220170505
Betânia do Piauí,220173905
Boa Hora,220177005
Bocaina,220180405
Bom Jesus,220190305
Bom Princípio do Piauí,220191905
Bonfim do Piauí,220192905
Boqueirão do Piauí,220194505
Brasileira,220196005
Brejo do Piauí,220198805
Buriti dos Lopes,220200005
Buriti dos Montes,220202605
Cabeceiras do Piauí,220205905
Cajazeiras do Piauí,220207505
Cajueiro da Praia,220208305
Caldeirão Grande do Piauí,220209105
Campinas do Piauí,220210905
Campo Alegre do Fidalgo,220211705
Campo Grande do Piauí,220213305
Campo Largo do Piauí,220217405
Campo Maior,220220805
Canavieira,220225105
Canto do Buriti,220230705
Capitão de Campos,220240605
Capitão Gervásio Oliveira,220245505
Caracol,220250505
Caraúbas do Piauí,220253905
Caridade do Piauí,220255405
Castelo do Piauí,220260405
Caxingó,220265305
Cocal,220270305
Cocal de Telha,220271105
Cocal dos Alves,220272905
Coivaras,220273705
Colônia do Gurguéia,220275205
Colônia do Piauí,220277805
Conceição do Canindé,220280205
Coronel José Dias,220285105
Corrente,220290105
Cristalândia do Piauí,220300805
Cristino Castro,220310705
Curimatá,220320605
Currais,220323005
Curralinhos,220325505
Curral Novo do Piauí,220327105
Demerval Lobão,220330505
Dirceu Arcoverde,220335405
Dom Expedito Lopes,220340405
Domingos Mourão,220342005
Dom Inocêncio,220345305
Elesbão Veloso,220350305
Eliseu Martins,220360205
Esperantina,220370105
Fartura do Piauí,220375005
Flores do Piauí,220380005
Floresta do Piauí,220385905
Floriano,220390905
Francinópolis,220400605
Francisco Ayres,220410505
Francisco Macedo,220415405
Francisco Santos,220420405
Fronteiras,220430305
Geminiano,220435205
Gilbués,220440205
Guadalupe,220450105
Guaribas,220455005
Hugo Napoleão,220460005
Ilha Grande,220465905
Inhuma,220470905
Ipiranga do Piauí,220480805
Isaías Coelho,220490705
Itainópolis,220500305
Itaueira,220510205
Jacobina do Piauí,220515105
Jaicós,220520105
Jardim do Mulato,220525005
Jatobá do Piauí,220527605
Jerumenha,220530005
João Costa,220535905
Joaquim Pires,220540905
Joca Marques,220545805
José de Freitas,220550805
Juazeiro do Piauí,220551605
Júlio Borges,220552405
Jurema,220553205
Lagoinha do Piauí,220554005
Lagoa Alegre,220555705
Lagoa do Barro do Piauí,220556505
Lagoa de São Francisco,220557305
Lagoa do Piauí,220558105
Lagoa do Sítio,220559905
Landri Sales,220560705
Luiz Correia,220570605
Luzilândia,220580505
Madeiro,220585405
Manoel Emídio,220590405
Marcolândia,220595305
Marcos Parente,220600105
Massapê do Piauí,220605005
Matias Olímpio,220610005
Miguel Alves,220620905
Miguel Leão,220630805
Milton Brandão,220635705
Monsenhor Gil,220640705
Monsenhor Hipólito,220650605
Monte Alegre do Piauí,220660505
Morro Cabeça no Tempo,220665405
Morro do Chapéu do Piauí,220667005
Murici dos Portelas,220669605
Nazaré do Piauí,220670405
Nazária,220672005
Nossa Senhora de Nazaré,220675305
Nossa Senhora dos Remédios,220680305
Novo Oriente do Piauí,220690205
Novo Santo Antônio,220695105
Oeiras,220700905
Olho D'Água do Piauí,220710805
Padre Marcos,220720705
Paes Landim,220730605
Pajeú do Piauí,220735505
Palmeira do Piauí,220740505
Palmeirais,220750405
Paquetá,220755305
Parnaguá,220760305
Parnaíba,220770205
Passagem Franca do Piauí,220775105
Patos do Piauí,220777705
Pau D'Arco do Piauí,220779305
Paulistana,220780105
Pavussu,220785005
Pedro II,220790005
Pedro Laurentino,220793405
Nova Santa Rita,220795905
Picos,220800705
Pimenteiras,220810605
Pio IX,220820505
Piracuruca,220830405
Piripiri,220840305
Porto,220850205
Porto Alegre do Piauí,220855105
Prata do Piauí,220860105
Queimada Nova,220865005
Redenção do Gurguéia,220870005
Regeneração,220880905
Riacho Frio,220885805
Ribeira do Piauí,220887405
Ribeiro Gonçalves,220890805
Rio Grande do Piauí,220900505
Santa Cruz do Piauí,220910405
Santa Cruz dos Milagres,220915305
Santa Filomena,220920305
Santa Luz,220930205
Santana do Piauí,220935105
Santa Rosa do Piauí,220937705
Santo Antônio de Lisboa,220940105
Santo Antônio dos Milagres,220945005
Santo Inácio do Piauí,220950005
São Braz do Piauí,220955905
São Félix do Piauí,220960905
São Francisco de Assis do Piauí,220965805
São Francisco do Piauí,220970805
São Gonçalo do Gurguéia,220975705
São Gonçalo do Piauí,220980705
São João da Canabrava,220985605
São João da Fronteira,220987205
São João da Serra,220990605
São João da Varjota,220995505
São João do Arraial,220997105
São João do Piauí,221000305
São José do Divino,221005205
São José do Peixe,221010205
São José do Piauí,221020105
São Julião,221030005
São Lourenço do Piauí,221035905
São Luis do Piauí,221037505
São Miguel da Baixa Grande,221038305
São Miguel do Fidalgo,221039105
São Miguel do Tapuio,221040905
São Pedro do Piauí,221050805
São Raimundo Nonato,221060705
Sebastião Barros,221062305
Sebastião Leal,221063105
Sigefredo Pacheco,221065605
Simões,221070605
Simplício Mendes,221080505
Socorro do Piauí,221090405
Sussuapara,221093805
Tamboril do Piauí,221095305
Tanque do Piauí,221097905
Teresina,221100105
União,221110005
Uruçuí,221120905
Valença do Piauí,221130805
Várzea Branca,221135705
Várzea Grande,221140705
Vera Mendes,221150605
Vila Nova do Piauí,221160505
Wall Ferraz,221170405
Abaiara,230010105
São José,230010120
Acarape,230015005
Acaraú,230020005
